availability,size,total_sqft,bath,balcony,price
20-Sep,2 BHK,1459.0,2.0,1.0,94.82
Ready To Move,2 Bedroom,800.0,1.0,1.0,130.0
Ready To Move,2 BHK,869.0,2.0,1.0,36.0
Ready To Move,2 BHK,1270.0,2.0,1.0,50.0
18-Mar,3 BHK,1670.0,3.0,1.0,99.0
Ready To Move,3 BHK,2010.0,3.0,2.0,91.0
Ready To Move,2 BHK,1185.0,2.0,2.0,75.0
Ready To Move,3 BHK,1600.0,2.0,3.0,75.0
Ready To Move,2 BHK,1200.0,2.0,2.0,44.0
20-Feb,4 Bedroom,,2.0,2.0,192.0
Ready To Move,2 BHK,1500.0,2.0,2.0,185.0
Ready To Move,6 Bedroom,1407.0,4.0,1.0,150.0
Ready To Move,2 BHK,840.0,2.0,2.0,45.0
Ready To Move,3 Bedroom,2606.0,3.0,2.0,236.3825
Ready To Move,2 BHK,845.0,2.0,1.0,55.0
Ready To Move,4 Bedroom,2606.0,4.5,3.0,236.3825
Ready To Move,2 BHK,1160.0,2.0,2.0,44.0
Ready To Move,8 Bedroom,2606.0,4.5,0.0,140.0
Ready To Move,2 BHK,1100.0,2.0,1.0,62.0
18-Apr,2 BHK,1140.0,2.0,3.0,43.0
Ready To Move,2 BHK,1220.0,2.0,1.0,57.0
Ready To Move,8 Bedroom,1350.0,4.5,0.0,85.0
Ready To Move,2 BHK,1005.0,2.0,1.0,36.68
Ready To Move,3 Bedroom,500.0,3.0,2.0,100.0
20-Aug,2 BHK,1358.0,2.0,1.0,80.58
Ready To Move,3 BHK,1569.0,3.0,1.0,101.0
18-Apr,2 BHK,1240.0,2.0,1.0,70.0
Ready To Move,3 BHK,2089.0,3.0,2.0,140.0
Ready To Move,2 BHK,1206.0,2.0,1.0,48.23
Ready To Move,2 BHK,1150.0,2.0,3.0,40.0
Ready To Move,3 BHK,2511.0,3.0,3.0,205.0
Ready To Move,2 BHK,460.0,1.0,0.0,22.0
Ready To Move,6 Bedroom,2606.0,4.5,3.0,236.3825
Ready To Move,3 BHK,1660.0,2.0,2.0,105.0
18-Oct,4 Bedroom,,2.0,2.0,224.5
19-Mar,2 BHK,1326.0,2.0,2.0,78.0
Ready To Move,3 BHK,1325.0,2.0,2.0,60.8
Ready To Move,3 BHK,1499.0,4.5,2.0,102.0
Ready To Move,6 Bedroom,2606.0,4.5,2.0,210.0
Ready To Move,3 BHK,1665.0,3.0,2.0,88.0
17-Sep,2 BHK,708.0,2.0,2.0,37.0
Ready To Move,2 BHK,1060.0,2.0,2.0,58.06
Ready To Move,6 Bedroom,710.0,4.5,3.0,160.0
Ready To Move,2 BHK,1000.0,2.0,2.0,70.0
18-Dec,2 BHK,1000.0,2.0,1.0,28.88
Ready To Move,3 BHK,1450.0,2.0,2.0,70.0
Ready To Move,4 Bedroom,1200.0,4.0,2.0,155.0
17-Aug,2 BHK,1296.0,2.0,3.0,80.0
Ready To Move,3 BHK,1540.0,3.0,2.0,90.0
Ready To Move,4 Bedroom,2606.0,4.0,1.0,236.3825
Ready To Move,3 BHK,1330.0,2.0,1.0,48.0
Ready To Move,2 BHK,1200.0,2.0,1.0,65.0
Ready To Move,3 Bedroom,1200.0,3.0,1.0,90.0
Ready To Move,3 BHK,2502.0,3.0,3.0,138.0
Ready To Move,2 BHK,650.0,1.0,1.0,17.0
Ready To Move,3 Bedroom,2400.0,2.0,1.0,150.0
Ready To Move,2 BHK,1007.0,2.0,2.0,43.0
Ready To Move,2 BHK,1200.0,2.0,2.0,50.0
Ready To Move,2 BHK,966.0,2.0,2.0,49.9
Ready To Move,3 BHK,1630.0,2.0,1.0,98.0
Ready To Move,3 BHK,1640.0,3.0,2.0,229.0
Ready To Move,2 BHK,782.0,2.0,2.0,55.68
19-Apr,2 BHK,1260.0,2.0,2.0,66.78
Ready To Move,3 BHK,1800.0,3.0,3.0,120.0
Ready To Move,3 BHK,1413.0,2.0,2.0,75.0
Ready To Move,2 BHK,1116.0,2.0,1.0,51.91
Ready To Move,3 BHK,1530.0,2.0,1.0,45.9
Ready To Move,4 Bedroom,2606.0,4.0,1.0,225.0
Ready To Move,3 Bedroom,2497.0,3.0,2.0,140.0
Ready To Move,3 BHK,1540.0,2.0,3.0,64.0
18-Dec,3 BHK,1436.0,3.0,1.0,74.75
18-Jun,2 BHK,1100.0,2.0,2.0,75.0
Ready To Move,2 Bedroom,276.0,3.0,3.0,23.0
Ready To Move,3 BHK,1427.0,3.0,2.0,120.0
Ready To Move,3 BHK,2061.0,3.0,1.0,200.0
18-Mar,4 BHK,,4.0,0.0,236.3825
Ready To Move,4 BHK,2606.0,4.0,2.0,150.0
22-Dec,3 BHK,1282.0,2.0,2.0,68.52
Ready To Move,2 BHK,1050.0,2.0,1.0,34.0
Ready To Move,3 BHK,1600.0,3.0,2.0,65.0
22-Jan,2 BHK,945.0,2.0,1.0,54.0
Ready To Move,2 BHK,1500.0,2.0,1.0,78.0
Ready To Move,7 Bedroom,950.0,4.5,0.0,115.0
Ready To Move,3 BHK,1870.0,3.0,3.0,110.0
Ready To Move,3 Bedroom,1600.0,3.0,1.0,75.0
Ready To Move,2 BHK,880.0,1.0,1.0,16.5
Ready To Move,4 Bedroom,1200.0,4.0,0.0,210.0
Ready To Move,3 BHK,1535.0,3.0,2.0,83.0
Ready To Move,2 BHK,950.0,2.0,1.0,57.0
18-Aug,2 BHK,1360.0,2.0,1.0,65.0
19-Mar,2 BHK,,2.0,0.0,54.005
18-May,3 BHK,1280.0,3.0,1.0,50.4
19-Jan,3 BHK,1260.0,2.0,2.0,85.05
Ready To Move,8 Bedroom,2606.0,4.5,2.0,236.3825
19-Dec,5 BHK,2606.0,4.5,1.0,213.0
Ready To Move,3 BHK,1563.05,3.0,1.0,105.0
Ready To Move,2 BHK,1000.0,2.0,1.0,60.0
17-Jul,2 BHK,1167.0,2.0,1.0,43.76
Ready To Move,7 BHK,2606.0,4.5,2.0,225.0
Ready To Move,3 BHK,1828.0,3.0,2.0,110.0
Ready To Move,2 BHK,890.0,2.0,1.0,35.0
Ready To Move,3 BHK,1612.0,3.0,3.0,46.74
Ready To Move,6 Bedroom,1034.0,4.5,2.0,185.0
19-Apr,3 BHK,1710.0,4.0,2.0,91.31
Ready To Move,2 BHK,957.0,2.0,1.0,58.0
18-May,3 BHK,1250.0,2.0,3.0,44.0
Ready To Move,3 BHK,2606.0,4.0,2.0,235.0
Ready To Move,2 BHK,1125.0,2.0,2.0,50.0
18-Jul,2 BHK,1020.0,2.0,1.0,30.6
Ready To Move,3 BHK,1735.0,3.0,3.0,135.0
Ready To Move,3 BHK,2050.0,3.0,1.0,145.0
Ready To Move,4 Bedroom,2606.0,4.0,0.0,236.3825
Ready To Move,3 BHK,1350.0,2.0,3.0,48.0
18-May,2 BHK,1063.0,2.0,1.0,32.0
Ready To Move,3 BHK,1904.0,3.0,1.0,150.0
Ready To Move,4 Bedroom,2606.0,4.0,2.0,236.3825
Ready To Move,3 BHK,2000.0,3.0,1.0,175.0
18-Dec,2 BHK,,2.0,0.0,43.49
Ready To Move,3 BHK,1425.0,2.0,2.0,75.0
Ready To Move,3 BHK,1500.0,2.0,1.0,64.5
Ready To Move,2 BHK,1060.0,2.0,1.0,60.0
Ready To Move,3 BHK,1470.0,2.0,2.0,70.0
Ready To Move,6 BHK,1300.0,4.5,0.0,99.0
Ready To Move,1 BHK,450.0,1.0,1.0,11.0
18-Apr,2 BHK,1152.0,2.0,1.0,64.5
Ready To Move,3 BHK,1350.0,2.0,1.0,56.0
Ready To Move,3 BHK,1550.0,3.0,3.0,65.0
Ready To Move,3 Bedroom,1500.0,3.0,2.0,100.0
Ready To Move,5 Bedroom,600.0,3.0,2.0,85.0
Ready To Move,1 Bedroom,400.0,1.0,0.0,14.0
Ready To Move,1 BHK,705.0,1.0,2.0,67.0
Ready To Move,2 BHK,770.0,1.0,1.0,36.0
Ready To Move,2 BHK,1242.0,2.0,3.0,51.0
Ready To Move,3 BHK,1700.0,3.0,2.0,155.0
Ready To Move,3 BHK,2144.0,3.0,2.0,145.0
21-Jun,3 BHK,1704.0,3.0,2.0,110.0
Ready To Move,2 BHK,1070.0,2.0,1.0,52.0
Ready To Move,3 Bedroom,1846.0,3.0,2.0,236.3825
Ready To Move,2 BHK,1340.0,2.0,2.0,55.7
Ready To Move,2 BHK,1025.0,2.0,1.0,46.0
Ready To Move,2 BHK,,2.0,0.0,56.8
Ready To Move,2 BHK,1200.0,2.0,2.0,52.0
18-Dec,4 Bedroom,2250.0,4.0,1.0,110.0
Ready To Move,3 BHK,1550.0,2.0,3.0,80.0
Ready To Move,4 Bedroom,1200.0,4.5,2.0,236.3825
Ready To Move,7 Bedroom,1800.0,4.5,1.0,236.3825
Ready To Move,2 BHK,1200.0,2.0,2.0,60.0
Ready To Move,2 BHK,1327.0,2.0,2.0,98.0
Ready To Move,2 BHK,1186.0,2.0,2.0,58.0
Ready To Move,3 Bedroom,1783.0,3.0,1.0,115.0
Ready To Move,3 BHK,1400.0,3.0,2.0,56.0
Ready To Move,2 BHK,980.0,2.0,1.0,48.0
Ready To Move,2 BHK,1285.0,2.0,2.0,82.0
Ready To Move,3 BHK,912.0,2.0,1.0,70.0
Ready To Move,2 BHK,1225.0,2.0,2.0,47.6
Ready To Move,2 BHK,1075.0,2.0,1.0,53.0
Ready To Move,3 BHK,1260.0,2.0,2.0,54.0
Ready To Move,3 BHK,1282.0,2.0,2.0,48.7
Ready To Move,3 BHK,1909.0,3.0,2.0,88.0
Ready To Move,2 BHK,1359.0,2.0,1.0,87.0
Ready To Move,2 BHK,1207.0,2.0,2.0,43.5
Ready To Move,4 Bedroom,1736.0,4.5,0.0,190.0
20-May,4 BHK,2606.0,4.0,1.0,236.3825
Ready To Move,3 BHK,1595.0,3.0,2.0,65.0
18-Jun,3 BHK,1798.0,3.0,2.0,89.0
Ready To Move,3 BHK,1475.0,3.0,2.0,78.29
Ready To Move,3 BHK,1580.0,3.0,3.0,100.0
Ready To Move,2 BHK,1295.0,2.0,1.0,65.0
Ready To Move,6 Bedroom,2606.0,4.5,0.0,141.0
Ready To Move,1 BHK,589.0,1.0,1.0,27.0
Ready To Move,3 BHK,1415.0,3.0,3.0,78.0
18-Dec,3 BHK,1787.0,3.0,2.0,98.29
Ready To Move,3 BHK,1787.0,3.0,2.0,125.0
Ready To Move,3 BHK,1475.0,2.0,3.0,90.0
Ready To Move,4 BHK,2000.0,4.0,1.0,75.5
19-Mar,2 BHK,984.0,2.0,1.0,44.28
19-Dec,3 BHK,,2.0,2.0,74.82
Ready To Move,3 BHK,2405.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1080.0,2.0,2.0,72.0
Ready To Move,2 Bedroom,1500.0,2.0,1.0,115.0
Ready To Move,3 BHK,1900.0,3.0,2.0,119.0
19-Aug,2 BHK,805.0,2.0,1.0,22.14
Ready To Move,2 BHK,1153.0,2.0,2.0,56.4
Ready To Move,2 BHK,1148.0,2.0,2.0,60.0
Ready To Move,2 BHK,1110.0,2.0,2.0,55.0
Ready To Move,2 BHK,1100.0,2.0,2.0,42.0
Ready To Move,2 BHK,1290.0,2.0,2.0,110.0
Ready To Move,3 BHK,1500.0,2.0,1.0,65.0
18-Apr,2 BHK,1080.0,2.0,2.0,39.0
21-Jun,3 BHK,1933.0,3.0,1.0,129.0
Ready To Move,5 Bedroom,2606.0,4.5,2.0,150.0
Ready To Move,2 BHK,1060.0,2.0,2.0,60.0
18-Aug,1 BHK,645.0,1.0,1.0,16.45
Ready To Move,8 Bedroom,2600.0,4.5,2.0,180.0
18-Sep,1 BHK,645.0,1.0,1.0,16.45
Ready To Move,3 BHK,1644.0,3.0,3.0,84.0
Ready To Move,2 BHK,1285.0,2.0,3.0,72.5
Ready To Move,2 BHK,910.0,2.0,1.0,40.0
Ready To Move,3 BHK,1577.0,3.0,1.0,70.0
17-May,3 Bedroom,2606.0,3.0,2.0,236.3825
Ready To Move,3 BHK,2420.0,3.0,2.0,185.0
Ready To Move,2 BHK,800.0,1.0,1.0,20.0
Ready To Move,2 BHK,1060.0,2.0,2.0,55.0
Ready To Move,2 BHK,1270.0,2.0,2.0,93.0
18-Jun,2 BHK,900.0,2.0,2.0,22.5
Ready To Move,2 Bedroom,1280.0,2.0,1.0,69.0
Ready To Move,4 Bedroom,1200.0,2.0,0.0,95.0
Ready To Move,2 BHK,1025.0,2.0,2.0,36.0
17-Jun,2 BHK,1108.0,2.0,1.0,63.0
Ready To Move,5 Bedroom,1200.0,4.5,2.0,170.0
Ready To Move,3 BHK,2606.0,3.0,2.0,170.0
Ready To Move,4 Bedroom,2606.0,3.0,2.0,236.3825
Ready To Move,3 BHK,1500.0,3.0,2.0,75.5
Ready To Move,2 BHK,1295.0,2.0,2.0,43.9
Ready To Move,2 BHK,1162.0,2.0,1.0,59.9
Ready To Move,2 BHK,1035.0,2.0,2.0,49.2
Ready To Move,4 Bedroom,1600.0,4.0,0.0,52.8
Ready To Move,3 BHK,1464.0,3.0,2.0,46.0
18-Oct,3 BHK,1866.0,2.0,2.0,61.58
Ready To Move,2 BHK,700.0,1.0,1.0,26.0
Ready To Move,3 BHK,1804.0,3.0,2.0,120.0
Ready To Move,2 BHK,913.0,2.0,1.0,32.0
21-Dec,3 BHK,1868.0,3.0,2.0,131.0
Ready To Move,2 BHK,883.0,2.0,1.0,45.0
Ready To Move,2 Bedroom,900.0,2.0,1.0,110.0
Ready To Move,3 BHK,1664.0,2.0,3.0,73.95
Ready To Move,3 BHK,2026.0,3.0,2.0,132.0
Ready To Move,2 BHK,1210.0,2.0,1.0,80.9
Ready To Move,4 Bedroom,2606.0,4.0,2.0,236.3825
Ready To Move,3 BHK,1762.0,3.0,3.0,91.45
Ready To Move,3 BHK,1252.0,3.0,3.0,55.0
Ready To Move,2 BHK,861.0,2.0,1.0,34.5
Ready To Move,3 BHK,1420.0,2.0,1.0,100.0
Ready To Move,6 Bedroom,1450.0,4.5,0.0,236.3825
Ready To Move,3 BHK,1490.0,3.0,1.0,78.8
Ready To Move,3 BHK,1075.0,2.0,1.0,46.0
18-Aug,3 BHK,1425.0,2.0,2.0,94.0
Ready To Move,2 BHK,1200.0,2.0,1.0,40.0
Ready To Move,3 BHK,1280.0,2.0,2.0,56.0
Ready To Move,2 BHK,1084.0,2.0,2.0,50.0
18-Jul,2 BHK,1015.0,2.0,2.0,25.88
21-May,2 BHK,1017.0,2.0,1.0,51.25
Ready To Move,2 BHK,1027.0,2.0,2.0,44.0
Ready To Move,2 BHK,1069.0,2.0,2.0,45.0
Ready To Move,2 BHK,1349.0,2.0,1.0,98.2
Ready To Move,2 BHK,1005.0,2.0,1.0,50.0
Ready To Move,2 BHK,1417.0,2.0,3.0,75.0
18-Jan,3 Bedroom,1475.0,3.0,1.0,98.0
Ready To Move,2 BHK,950.0,2.0,2.0,47.0
Ready To Move,4 BHK,2000.0,4.0,0.0,120.0
Ready To Move,3 Bedroom,880.0,3.0,1.0,140.0
Ready To Move,4 BHK,1863.0,3.0,2.0,104.0
Ready To Move,2 BHK,1010.0,2.0,1.0,29.5
Ready To Move,3 BHK,1425.0,2.0,1.0,70.0
Ready To Move,3 BHK,1450.0,3.0,0.0,100.0
Ready To Move,3 BHK,1847.0,3.0,2.0,105.0
Ready To Move,2 BHK,1100.0,2.0,3.0,45.0
20-Dec,1 BHK,525.0,1.0,1.0,26.0
Ready To Move,3 BHK,1665.0,3.0,2.0,95.0
Ready To Move,4 BHK,1664.0,4.0,3.0,65.0
Ready To Move,3 BHK,1850.0,3.0,3.0,150.0
Ready To Move,2 BHK,1438.0,2.0,3.0,100.0
Ready To Move,3 BHK,1560.0,3.0,3.0,115.0
18-Apr,2 BHK,1350.0,2.0,1.0,55.55
Ready To Move,3 BHK,1550.0,3.0,3.0,67.0
18-Apr,2 BHK,1140.0,2.0,2.0,46.5
Ready To Move,5 Bedroom,1200.0,4.5,2.0,180.0
18-Dec,2 BHK,850.0,2.0,2.0,27.0
Ready To Move,2 BHK,1280.0,2.0,2.0,75.0
Ready To Move,2 BHK,1170.0,2.0,2.0,52.0
Ready To Move,2 BHK,1113.0,2.0,1.0,51.0
Ready To Move,2 BHK,1385.0,2.0,1.0,83.09
18-Apr,2 BHK,1128.0,2.0,1.0,65.0
Ready To Move,2 Bedroom,1200.0,2.0,2.0,128.0
Ready To Move,4 Bedroom,1200.0,4.0,3.0,165.0
Ready To Move,3 BHK,2390.0,3.0,2.0,236.3825
Ready To Move,4 Bedroom,2400.0,4.0,1.0,236.3825
Ready To Move,3 BHK,1464.0,3.0,2.0,56.0
Ready To Move,2 BHK,1200.0,2.0,2.0,55.0
Ready To Move,3 BHK,1150.0,2.0,1.0,55.0
Ready To Move,3 BHK,1645.0,3.0,2.0,95.0
20-Mar,2 BHK,1000.0,2.0,1.0,67.0
Ready To Move,4 Bedroom,2606.0,4.0,2.0,198.0
Ready To Move,2 BHK,1192.0,2.0,2.0,74.0
Ready To Move,3 BHK,2135.0,3.0,2.0,215.0
19-Dec,2 BHK,1173.0,2.0,1.0,58.0
Ready To Move,2 BHK,1020.0,2.0,2.0,45.0
Ready To Move,4 BHK,2606.0,4.5,2.0,230.0
Ready To Move,3 BHK,1600.0,3.0,3.0,64.0
18-Mar,2 Bedroom,1200.0,2.0,0.0,79.0
Ready To Move,2 BHK,1230.0,2.0,3.0,48.0
Ready To Move,2 BHK,1250.0,2.0,2.0,40.0
Ready To Move,2 BHK,1325.0,2.0,2.0,76.0
Ready To Move,3 BHK,1850.0,3.0,1.0,150.0
21-Dec,1 BHK,525.0,2.0,2.0,21.53
Ready To Move,2 BHK,1200.0,2.0,2.0,65.0
Ready To Move,3 Bedroom,1350.0,2.0,0.0,140.0
18-Jun,3 BHK,1260.0,3.0,1.0,49.36
Ready To Move,3 BHK,1800.0,3.0,0.0,150.0
18-Dec,3 Bedroom,198.0,3.0,2.0,74.0
Ready To Move,2 BHK,1100.0,2.0,1.0,43.25
Ready To Move,2 BHK,1508.0,2.0,1.0,77.0
Ready To Move,3 BHK,1592.0,3.0,2.0,75.0
Ready To Move,2 BHK,1388.0,2.0,3.0,57.0
18-May,1 BHK,630.0,1.0,1.0,28.35
Ready To Move,3 Bedroom,2000.0,3.0,2.0,236.3825
Ready To Move,3 BHK,1762.0,3.0,1.0,125.0
21-Dec,2 BHK,950.0,2.0,2.0,50.0
Ready To Move,4 BHK,2606.0,4.5,3.0,236.3825
18-Aug,2 BHK,1116.0,2.0,1.0,50.0
Ready To Move,2 BHK,1308.0,2.0,2.0,89.04
Ready To Move,3 BHK,1200.0,3.0,0.0,90.0
Ready To Move,4 Bedroom,1500.0,4.0,2.0,230.0
Ready To Move,1 BHK,500.0,1.0,1.0,18.5
Ready To Move,2 BHK,1075.0,2.0,1.0,52.0
18-Mar,1 BHK,530.0,1.0,0.0,11.66
Ready To Move,2 BHK,1205.0,2.0,3.0,66.0
Ready To Move,2 BHK,1075.0,2.0,2.0,60.0
Ready To Move,2 BHK,930.0,2.0,2.0,39.0
Ready To Move,2 BHK,1380.0,2.0,1.0,60.0
Ready To Move,4 BHK,2483.0,4.5,2.0,212.0
Ready To Move,2 BHK,1166.0,2.0,2.0,55.0
Ready To Move,2 BHK,1050.0,2.0,1.0,65.0
19-Mar,3 BHK,2023.71,3.0,2.0,236.3825
Ready To Move,2 BHK,1200.0,2.0,2.0,46.8
Ready To Move,3 BHK,1600.0,2.0,1.0,108.0
Ready To Move,3 BHK,1935.0,3.0,2.0,110.0
18-May,1 BHK,451.0,1.0,0.0,29.9
Ready To Move,3 BHK,1800.0,3.0,2.0,95.0
18-May,3 BHK,1400.0,3.0,0.0,77.0
Ready To Move,3 BHK,1801.0,3.0,2.0,115.0
Ready To Move,2 BHK,1451.0,2.0,2.0,90.0
19-Jan,2 Bedroom,1200.0,1.0,1.0,36.0
Ready To Move,2 BHK,1000.0,2.0,1.0,25.0
Ready To Move,2 BHK,950.0,2.0,1.0,40.0
20-Dec,3 BHK,1629.0,3.0,2.0,79.0
Ready To Move,3 BHK,1580.0,2.0,0.0,134.0
21-Jun,3 BHK,1826.0,3.0,2.0,121.0
Ready To Move,2 BHK,1245.0,2.0,1.0,94.0
Ready To Move,2 BHK,1145.0,2.0,2.0,45.79
Ready To Move,2 BHK,825.0,2.0,1.0,33.0
18-Aug,3 BHK,1693.0,3.0,3.0,108.0
Ready To Move,2 BHK,1113.27,2.0,2.0,53.0
Ready To Move,2 BHK,1460.0,2.0,1.0,58.0
Ready To Move,2 BHK,1050.0,2.0,1.0,32.0
Ready To Move,2 BHK,1260.0,2.0,2.0,55.0
Ready To Move,6 BHK,700.0,3.0,2.0,120.0
Ready To Move,2 BHK,1656.0,2.0,1.0,120.0
Ready To Move,3 BHK,1208.0,3.0,1.0,45.0
Ready To Move,3 BHK,1910.0,3.0,2.0,161.0
Ready To Move,4 BHK,2606.0,4.0,1.0,230.0
Ready To Move,2 Bedroom,1200.0,2.0,1.0,65.0
Ready To Move,4 BHK,1200.0,4.0,1.0,175.0
Ready To Move,2 BHK,1175.0,2.0,1.0,82.0
Ready To Move,2 Bedroom,1000.0,2.0,0.0,165.0
Ready To Move,4 Bedroom,1200.0,2.0,0.0,125.0
Ready To Move,3 BHK,2390.0,3.0,2.0,236.3825
19-Jan,7 BHK,2606.0,4.5,3.0,236.3825
Ready To Move,2 Bedroom,550.0,1.0,1.0,62.0
Ready To Move,1 BHK,,1.0,0.0,18.5
Ready To Move,2 BHK,1185.0,2.0,2.0,38.0
Ready To Move,2 BHK,750.0,2.0,1.0,38.0
Ready To Move,6 Bedroom,1200.0,4.5,3.0,236.3825
Ready To Move,3 BHK,1550.0,3.0,3.0,64.5
Ready To Move,3 BHK,1760.0,3.0,2.0,88.0
Ready To Move,2 BHK,1125.0,2.0,2.0,62.0
Ready To Move,3 Bedroom,1350.0,3.0,2.0,150.0
17-Dec,2 Bedroom,1000.0,2.0,1.0,55.0
18-Aug,2 BHK,1090.0,2.0,2.0,31.48
Ready To Move,2 Bedroom,1200.0,2.0,0.0,60.0
Ready To Move,3 BHK,1991.0,4.0,2.0,103.0
18-Oct,2 BHK,1060.0,2.0,1.0,26.5
Ready To Move,2 BHK,1105.0,2.0,1.0,75.0
Ready To Move,2 BHK,985.0,2.0,2.0,67.0
Ready To Move,6 Bedroom,1533.0,4.5,3.0,85.0
17-Jul,3 BHK,1590.0,3.0,2.0,79.0
Ready To Move,2 BHK,1120.0,2.0,2.0,55.0
Ready To Move,2 BHK,1069.0,2.0,1.0,55.0
Ready To Move,3 BHK,1933.0,3.0,2.0,140.0
16-Mar,2 BHK,1194.0,2.0,0.0,69.0
Ready To Move,2 BHK,1150.0,2.0,3.0,69.0
Ready To Move,2 BHK,1240.0,2.0,2.0,47.12
Ready To Move,2 BHK,1419.0,2.0,2.0,48.1
Ready To Move,8 Bedroom,1200.0,4.5,2.0,236.3825
Ready To Move,3 BHK,2150.0,4.0,2.0,236.3825
Ready To Move,3 BHK,1450.0,3.0,2.0,55.0
18-Jul,3 BHK,1630.0,3.0,2.0,68.29
Ready To Move,2 BHK,708.0,1.0,1.0,40.0
Ready To Move,3 Bedroom,1000.0,4.0,3.0,110.0
Ready To Move,4 Bedroom,2606.0,4.0,3.0,236.3825
Ready To Move,2 BHK,1250.0,2.0,1.0,76.0
Ready To Move,3 BHK,1400.0,2.0,1.0,95.0
Ready To Move,3 BHK,1670.0,2.0,3.0,57.0
Ready To Move,3 BHK,1750.0,3.0,2.0,100.0
Ready To Move,2 BHK,1404.0,2.0,1.0,71.0
Ready To Move,3 BHK,1715.0,2.0,2.0,95.0
18-Apr,1 BHK,630.0,1.0,1.0,34.65
Ready To Move,3 BHK,1752.12,3.0,2.0,135.0
Ready To Move,3 BHK,1650.0,3.0,2.0,78.0
Ready To Move,2 BHK,1295.0,2.0,1.0,55.47
Ready To Move,3 Bedroom,1800.0,3.0,2.0,236.3825
18-Sep,2 BHK,1346.0,2.0,1.0,74.03
Ready To Move,4 Bedroom,1200.0,4.0,2.0,200.0
Ready To Move,2 BHK,1150.0,2.0,2.0,55.0
Ready To Move,4 Bedroom,2606.0,4.0,3.0,236.3825
18-May,3 BHK,1190.0,2.0,2.0,30.35
Ready To Move,3 BHK,1620.0,3.0,2.0,98.0
18-Apr,2 BHK,950.0,2.0,1.0,46.96
Ready To Move,11 BHK,2606.0,4.5,3.0,236.3825
Ready To Move,3 BHK,2450.0,3.0,0.0,120.0
18-May,3 BHK,1220.0,2.0,1.0,35.23
Ready To Move,2 BHK,850.0,2.0,1.0,30.0
Ready To Move,2 BHK,1020.0,2.0,2.0,63.0
Ready To Move,2 BHK,1100.0,2.0,2.0,50.0
Ready To Move,2 BHK,1150.0,2.0,2.0,126.0
18-Dec,3 BHK,1760.0,2.0,2.0,130.0
Ready To Move,3 BHK,1800.0,3.0,3.0,110.0
Ready To Move,2 BHK,1070.0,2.0,1.0,54.0
Ready To Move,4 Bedroom,1500.0,4.0,2.0,220.0
